Mic,PrimaryExchange,Symbol,TradingClass,LongName,Currency,Multiplier,UnderSymbol,UnderSecType,StartDate
EUCH,SOFFEX,CONF,CONF,"Swiss Federal Long-Term Bonds",CHF,1000,CONF,IND,2017-12-07
EUCH,SOFFEX,SLI,FSLI,"Swiss Leader Index (PREIS_INDEX)",CHF,10,SLI,IND,2017-12-14
EUCH,SOFFEX,SMI,FSMI,"Swiss Market Index",CHF,10,SMI,IND,2017-12-15
EUCH,SOFFEX,SMIDP,FSMD,"SMI Dividend Points Index",CHF,100,SMIDP,IND,2017-12-15
EUCH,SOFFEX,SMIM,FSMM,"Swiss Mid-cap Index",CHF,10,SMIM,IND,2017-12-14
IFEN,IPE,ATW,ATW,"ICE Rotterdam Coal",USD,1000,ATW,IND,2017-10-27
IFEN,IPE,COIL,COIL,"ICE Brent Crude",USD,1000,COIL,IND,2017-10-31
IFEN,IPE,GOIL,GOIL,"ICE Gasoil",USD,100,GOIL,IND,2017-10-12
IFEN,IPE,HOIL,HOIL,"ICE Heating Oil",USD,42000,HOIL,IND,2017-10-30
IFEN,IPE,NCF,NCF,"Newcastle Coal Futures",USD,1000,NCF,IND,2017-10-27
IFEN,IPE,NGF,NGF,"ICE UK Natural Gas",GBP,28000,NGF,IND,2018-01-30
IFEN,IPE,NGF,NGF,"ICE UK Natural Gas",GBP,29000,NGF,IND,2020-01-30
IFEN,IPE,NGF,NGF,"ICE UK Natural Gas",GBP,30000,NGF,IND,2017-10-30
IFEN,IPE,NGF,NGF,"ICE UK Natural Gas",GBP,31000,NGF,IND,2017-11-29
IFEN,IPE,RBOB,RBOB,"ICE NYH RBOB Gasoline",USD,42000,RBOB,IND,2017-10-30
IFEN,IPE,UCX,UCX,"CSX Coal Futures",USD,1000,UCX,IND,2017-10-25
IFEN,IPE,WTI,WTI,"West Texas Intermediate Light Sweet Crude Oil",USD,1000,WTI,IND,2017-10-19
IFLL,ICEEU,F1DV,XZ,"FTSE 100 Dividend Index",GBP,10,F1DV,IND,2017-12-14
IFLL,ICEEU,H,H,"Medium Gilt",GBP,1000,H,IND,2010-03-29
IFLL,ICEEU,I,I,"3 Month EURIBOR Interest Rate",EUR,2500,I,IND,2017-10-16
IFLL,ICEEU,L,L,"3 Month Sterling Interest Rate FUT",GBP,1250,L,IND,2017-10-18
IFLL,ICEEU,NDUEBRAF,MCG,"The MSCI Brazil Net Total Return",USD,100,NDUEBRAF,IND,2021-12-17
IFLL,ICEEU,O,O,"5 Year Euro Swapnote",EUR,1000,O,IND,2017-12-18
IFLL,ICEEU,P,P,"10 Year Euro Swapnote",EUR,1000,P,IND,2017-12-18
IFLL,ICEEU,R,R,"Long Gilt",GBP,1000,R,IND,1983-03-29
