symbol,date,open,high,low,close,volume,open_interest
ESU08,09/18/2008,1273.75,1323.25,1243.0,1308.25,6013223,2380361
ESU08,09/17/2008,1325.5,1337.75,1264.5,1270.75,5915946,3490505
ESU08,09/16/2008,1306.75,1329.0,1271.75,1324.25,6078616,3205708
ESU08,09/15/2008,1340.25,1347.75,1304.5,1305.0,5191302,3050804
ESU08,09/12/2008,1361.0,1367.75,1343.5,1367.25,3648514,2809462
ESU08,09/11/2008,1342.25,1362.75,1321.25,1361.0,4145205,2739328
ESU08,09/10/2008,1338.0,1354.75,1330.25,1343.25,3267955,2573257
ESU08,09/09/2008,1377.0,1385.0,1333.5,1336.5,3511803,2584490
ESU08,09/08/2008,1373.5,1392.0,1356.75,1377.0,3333353,2533550
ESU08,09/05/2008,1346.5,1355.25,1326.5,1351.0,3016691,2461589
ESU08,09/04/2008,1385.5,1387.0,1345.0,1346.5,2879958,2461572
ESU08,09/03/2008,1386.25,1391.0,1375.25,1385.25,2191428,2451668
ESU08,09/02/2008,1392.0,1413.5,1381.5,1386.5,2307061,2459927
ESU08,08/29/2008,1407.0,1408.0,1391.5,1392.5,1363496,2431595
ESU08,08/28/2008,1391.75,1410.0,1385.5,1408.0,1529544,2457631
ESU08,08/27/2008,1381.5,1395.25,1375.5,1392.0,1467894,2431112
ESU08,08/26/2008,1376.75,1385.75,1372.5,1381.75,1494188,2445030
ESU08,08/25/2008,1401.0,1402.25,1374.25,1376.5,1643724,2458453
ESU08,08/22/2008,1385.25,1404.0,1381.5,1402.25,1386150,2444890
ESU08,08/21/2008,1383.75,1391.75,1373.25,1385.5,1605250,2471572
ESU08,08/20/2008,1378.0,1386.75,1370.5,1383.75,1776403,2450449
ESU08,08/19/2008,1392.0,1393.0,1372.75,1378.5,1719522,2480227
ESU08,08/18/2008,1409.5,1416.0,1384.0,1392.0,1704377,2436259
ESU08,08/15/2008,1403.5,1412.5,1400.5,1409.75,1477150,2417382
ESU08,08/14/2008,1394.75,1410.75,1385.25,1403.75,1887551,2452654
ESU08,08/13/2008,1401.25,1404.5,1384.5,1394.5,2187873,2462142
ESU08,08/12/2008,1413.75,1417.75,1395.25,1401.5,1747395,2464302
ESU08,08/11/2008,1401.5,1423.5,1398.0,1415.0,2101714,2497873
ESU08,08/08/2008,1378.0,1408.0,1372.0,1402.25,2181712,2548147
ESU08,08/07/2008,1398.25,1399.0,1373.5,1378.0,1999790,2517197
ESU08,08/06/2008,1392.75,1401.75,1385.25,1397.75,1734213,2485848
ESU08,08/05/2008,1359.25,1394.5,1357.25,1393.0,2004869,2493001
ESU08,08/04/2008,1371.25,1373.25,1356.25,1358.75,1523855,2500896
ESU08,08/01/2008,1376.5,1385.0,1363.0,1370.25,1865967,2466548
ESU08,07/31/2008,1394.5,1400.0,1375.0,1377.0,2334436,2488909
ESU08,07/30/2008,1371.5,1395.0,1369.75,1394.75,2351700,2475353
